Cell ID	Short name	Plate	Condition
IV_A4_S100_R1_001	IV_A4	IV	OD 1.0
IV_A5_S101_R1_001	IV_A5	IV	OD 1.0
IV_A6_S102_R1_001	IV_A6	IV	OD 1.0
IV_B4_S112_R1_001	IV_B4	IV	OD 1.0
IV_B5_S113_R1_001	IV_B5	IV	OD 1.0
IV_B6_S114_R1_001	IV_B6	IV	OD 1.0
IV_C4_S124_R1_001	IV_C4	IV	OD 1.0
IV_C5_S125_R1_001	IV_C5	IV	OD 1.0
IV_C6_S126_R1_001	IV_C6	IV	OD 1.0
IV_D4_S136_R1_001	IV_D4	IV	OD 1.0
IV_D5_S137_R1_001	IV_D5	IV	OD 1.0
IV_D6_S138_R1_001	IV_D6	IV	OD 1.0
IV_E4_S148_R1_001	IV_E4	IV	OD 1.0
IV_E5_S149_R1_001	IV_E5	IV	OD 1.0
IV_E6_S150_R1_001	IV_E6	IV	OD 1.0
IV_F4_S160_R1_001	IV_F4	IV	OD 1.0
IV_F5_S161_R1_001	IV_F5	IV	OD 1.0
IV_F6_S162_R1_001	IV_F6	IV	OD 1.0
IV_G4_S172_R1_001	IV_G4	IV	OD 1.0
IV_G5_S173_R1_001	IV_G5	IV	OD 1.0
IV_G6_S174_R1_001	IV_G6	IV	OD 1.0
IV_H4_S184_R1_001	IV_H4	IV	OD 1.0
IV_H5_S185_R1_001	IV_H5	IV	OD 1.0
IV_H6_S186_R1_001	IV_H6	IV	OD 0.1
I_A4_S196_R1_001	I_A4	I	OD 2.0
I_A5_S197_R1_001	I_A5	I	OD 2.0
I_A6_S198_R1_001	I_A6	I	OD 2.0
I_B4_S208_R1_001	I_B4	I	OD 2.0
I_B5_S209_R1_001	I_B5	I	OD 2.0
I_B6_S210_R1_001	I_B6	I	OD 2.0
I_C4_S220_R1_001	I_C4	I	OD 2.0
I_C5_S221_R1_001	I_C5	I	OD 2.0
I_C6_S222_R1_001	I_C6	I	OD 2.0
I_D4_S232_R1_001	I_D4	I	OD 2.0
I_D5_S233_R1_001	I_D5	I	OD 2.0
I_D6_S234_R1_001	I_D6	I	OD 2.0
I_E4_S244_R1_001	I_E4	I	OD 2.0
I_E5_S245_R1_001	I_E5	I	OD 2.0
I_E6_S246_R1_001	I_E6	I	OD 2.0
I_F4_S256_R1_001	I_F4	I	OD 2.0
I_F5_S257_R1_001	I_F5	I	OD 2.0
I_F6_S258_R1_001	I_F6	I	OD 2.0
I_G4_S268_R1_001	I_G4	I	OD 2.0
I_G5_S269_R1_001	I_G5	I	OD 2.0
I_G6_S270_R1_001	I_G6	I	OD 2.0
I_H4_S280_R1_001	I_H4	I	OD 2.0
I_H5_S281_R1_001	I_H5	I	OD 2.0
I_H6_S282_R1_001	I_H6	I	OD 2.0
II_A1_S289_R1_001	II_A1	II	OD 2.0
II_A2_S290_R1_001	II_A2	II	OD 2.0
II_A3_S291_R1_001	II_A3	II	OD 2.0
II_B1_S301_R1_001	II_B1	II	OD 2.0
II_B2_S302_R1_001	II_B2	II	OD 2.0
II_B3_S303_R1_001	II_B3	II	OD 2.0
II_C1_S313_R1_001	II_C1	II	OD 2.0
II_C2_S314_R1_001	II_C2	II	OD 2.0
II_C3_S315_R1_001	II_C3	II	OD 2.0
II_D1_S325_R1_001	II_D1	II	OD 2.0
II_D2_S326_R1_001	II_D2	II	OD 2.0
II_D3_S327_R1_001	II_D3	II	OD 2.0
II_E1_S337_R1_001	II_E1	II	OD 2.0
II_E2_S338_R1_001	II_E2	II	OD 2.0
II_E3_S339_R1_001	II_E3	II	OD 2.0
II_F1_S349_R1_001	II_F1	II	OD 2.0
II_F2_S350_R1_001	II_F2	II	OD 2.0
II_F3_S351_R1_001	II_F3	II	OD 2.0
II_G1_S361_R1_001	II_G1	II	OD 2.0
II_G2_S362_R1_001	II_G2	II	OD 2.0
II_G3_S363_R1_001	II_G3	II	OD 2.0
II_H1_S373_R1_001	II_H1	II	OD 2.0
II_H2_S374_R1_001	II_H2	II	OD 2.0
II_H3_S375_R1_001	II_H3	II	OD 2.0
III_A10_S10_R1_001	III_A10	III	OD 2.0
III_A11_S11_R1_001	III_A11	III	OD 2.0
III_A12_S12_R1_001	III_A12	III	OD 2.0
III_B10_S22_R1_001	III_B10	III	OD 2.0
III_B11_S23_R1_001	III_B11	III	OD 2.0
III_B12_S24_R1_001	III_B12	III	OD 2.0
III_C10_S34_R1_001	III_C10	III	OD 2.0
III_C11_S35_R1_001	III_C11	III	OD 2.0
III_C12_S36_R1_001	III_C12	III	OD 2.0
III_D10_S46_R1_001	III_D10	III	OD 2.0
III_D11_S47_R1_001	III_D11	III	OD 2.0
III_D12_S48_R1_001	III_D12	III	OD 2.0
III_E10_S58_R1_001	III_E10	III	OD 2.0
III_E11_S59_R1_001	III_E11	III	OD 2.0
III_E12_S60_R1_001	III_E12	III	OD 2.0
III_F10_S70_R1_001	III_F10	III	OD 2.0
